gene_name,num_of_illumina_exps,median_illumina_mean_read2_gc_fraction,num_of_ultima_exps,median_ultima_mean_read2_gc_fraction
AC002070.1,21.0,0.5091954022988506,24.0,0.4166080607541579
AC002074.1,13.0,0.5194444444444445,17.0,0.3444444444444444
AC002076.1,10.0,0.47263374485596704,19.0,0.5074074074074074
AC002091.1,21.0,0.4342592592592593,24.0,0.38843648197114455
AC002091.2,21.0,0.4595744680851064,24.0,0.45777777777777773
AC002094.2,21.0,0.4229166666666666,24.0,0.36894394394394386
AC002115.1,9.0,0.4355555555555555,13.0,0.4777777777777778
AC002116.2,21.0,0.5701674277016743,24.0,0.5181469287227133
AC002127.2,12.0,0.38222222222222213,20.0,0.4159515625862926
AC002128.2,11.0,0.5056179775280899,12.0,0.5148148148148148
AC002306.1,19.0,0.5049382716049382,24.0,0.567593311479181
AC002310.1,21.0,0.499658396260338,24.0,0.3773037464391414
AC002310.2,20.0,0.5619738805418901,24.0,0.5920178588266748
AC002310.5,2.0,0.5833333333333333,7.0,0.6333333333333333
AC002347.1,20.0,0.5538285476487724,24.0,0.45198412698412693
AC002347.2,6.0,0.6544444444444444,4.0,0.6003703703703703
AC002351.1,4.0,0.6644444444444444,2.0,0.6166666666666667
AC002368.1,,,1.0,0.5666666666666667
AC002375.1,2.0,0.4988888888888888,15.0,0.4727272727272727
AC002383.1,2.0,0.3722222222222221,,
AC002384.1,14.0,0.4880952380952381,18.0,0.4833333333333333
AC002386.1,1.0,0.4777777777777778,2.0,0.3722222222222221
AC002398.1,20.0,0.4048148148148148,22.0,0.40185185185185185
AC002398.2,16.0,0.5796296296296296,22.0,0.566137566137566
AC002401.1,9.0,0.5866666666666667,2.0,0.5388888888888889
AC002401.2,2.0,0.5222222222222221,6.0,0.4630630630630631
AC002401.3,4.0,0.38082397003745316,9.0,0.3
AC002401.4,15.0,0.5842696629213483,22.0,0.44345238095238093
AC002429.2,20.0,0.452051282051282,24.0,0.4737522809032436
AC002451.1,20.0,0.5046474358974359,24.0,0.4119574933055708
AC002454.1,21.0,0.4744136942915316,24.0,0.4288318722072923
AC002456.1,21.0,0.337037037037037,24.0,0.31448152357648196
AC002463.1,1.0,0.5777777777777777,5.0,0.5222222222222223
AC002464.1,21.0,0.4554282075772047,24.0,0.44430733032127
AC002467.1,21.0,0.4625185185185185,24.0,0.4526261847823724
AC002470.1,21.0,0.5361616161616162,24.0,0.5207202055879715
AC002472.1,1.0,0.5666666666666667,2.0,0.5305555555555556
AC002480.2,13.0,0.4888888888888889,22.0,0.44999999999999996
AC002480.3,7.0,0.4111111111111111,1.0,0.4555555555555555
AC002480.4,17.0,0.4166666666666666,23.0,0.3983794431014415
AC002511.1,1.0,0.5959595959595959,4.0,0.5444444444444444
AC002511.2,5.0,0.5777777777777777,9.0,0.5388888888888889
AC002546.1,16.0,0.47561728395061725,23.0,0.4944444444444444
AC002550.1,21.0,0.4277777777777777,24.0,0.4374664535615299
AC002550.2,21.0,0.3503703703703704,24.0,0.2968697864531198
AC002553.1,21.0,0.4217251461988304,24.0,0.4622720727163126
AC002553.2,21.0,0.3245448838669177,24.0,0.30196091447072215
AC002558.2,21.0,0.4533333333333333,22.0,0.4449074074074074
AC002985.1,1.0,0.6111111111111112,,
AC002996.1,,,2.0,0.4766835016835017
AC003001.1,,,1.0,0.2857142857142857
AC003002.2,11.0,0.5666666666666667,4.0,0.5555555555555556
AC003002.3,20.0,0.5507575757575758,24.0,0.5405092592592593
AC003005.1,,,1.0,0.5444444444444444
AC003005.2,20.0,0.5103174603174603,24.0,0.4211381302789572
AC003006.1,1.0,0.7555555555555555,2.0,0.6236126491940446
AC003035.1,21.0,0.5194444444444444,23.0,0.5
AC003035.2,5.0,0.4355555555555555,7.0,0.3222222222222222
AC003043.1,1.0,0.5444444444444444,,
AC003043.2,12.0,0.5666666666666667,23.0,0.5777777777777777
AC003070.1,13.0,0.6,4.0,0.5382905982905983
AC003070.2,10.0,0.6321785268414482,17.0,0.6737373737373737
AC003084.1,3.0,0.4888888888888889,4.0,0.48
AC003087.1,1.0,0.24,,
AC003092.1,16.0,0.3916666666666666,21.0,0.4111111111111111
AC003092.2,,,2.0,0.2777777777777778
AC003098.1,1.0,0.5393258426966292,,
AC003101.1,9.0,0.6,6.0,0.4222222222222222
AC003101.2,17.0,0.6425925925925926,22.0,0.5831048581048581
AC003102.1,21.0,0.5175932611311673,24.0,0.4610183785261678
AC003666.1,,,1.0,0.5
AC003681.1,21.0,0.4685324925077363,24.0,0.45486721542728914
AC003682.1,21.0,0.3301587301587301,24.0,0.3791336593809786
AC003684.1,8.0,0.5055555555555555,11.0,0.5525641025641026
AC003688.1,,,12.0,0.5203703703703704
AC003956.1,20.0,0.572962962962963,24.0,0.20833333333333331
AC003958.2,2.0,0.5755555555555556,1.0,0.4666666666666667
AC003965.1,20.0,0.41966260543580125,24.0,0.3555906782769528
AC003973.1,1.0,0.48,1.0,0.4444444444444444
AC003973.2,14.0,0.5333333333333333,11.0,0.5107159142726858
AC003975.1,,,1.0,0.4777777777777778
AC003984.1,2.0,0.33730337078651684,,
AC003985.2,,,7.0,0.4222222222222222
AC003986.1,4.0,0.5211111111111112,2.0,0.4388888888888889
AC003986.2,2.0,0.40555555555555556,10.0,0.3333333333333333
AC003986.3,7.0,0.4222222222222222,14.0,0.34282407407407406
AC003988.1,,,4.0,0.33611111111111114
AC003991.1,21.0,0.4194444444444444,24.0,0.37918574360721496
AC003991.2,21.0,0.4833333333333333,24.0,0.46776719896804597
AC004012.1,12.0,0.5061111111111111,17.0,0.3944444444444444
AC004023.1,20.0,0.30787037037037035,24.0,0.3203703703703703
AC004034.1,21.0,0.4931940487496043,24.0,0.4601652631417948
AC004039.1,19.0,0.4266666666666666,24.0,0.39916666666666667
AC004053.1,19.0,0.4037037037037037,13.0,0.3972222222222222
AC004054.1,12.0,0.3777777777777777,7.0,0.3444444444444444
AC004063.1,4.0,0.597752808988764,7.0,0.5555555555555556
AC004066.2,,,1.0,0.4111111111111111
AC004067.1,21.0,0.4040579710144927,24.0,0.35578555039418513
AC004069.1,21.0,0.3670063076176613,24.0,0.3425585406112046
AC004076.1,13.0,0.4555555555555555,18.0,0.4444444444444444
AC004076.2,21.0,0.3909703091521273,24.0,0.3545964548926208
AC004080.1,1.0,0.6555555555555556,,
AC004080.2,,,2.0,0.5513626834381551
AC004080.3,1.0,0.5066666666666667,,
AC004112.1,10.0,0.34222846441947563,14.0,0.31343626504916833
AC004130.1,21.0,0.3532597392208623,24.0,0.3421840481657149
AC004147.2,10.0,0.5027777777777778,10.0,0.4354575163398693
AC004148.1,8.0,0.44222222222222224,16.0,0.4666666666666667
AC004148.2,21.0,0.3520651049016841,24.0,0.28462465183344066
AC004149.1,,,1.0,0.5333333333333333
AC004156.1,21.0,0.5518518518518518,24.0,0.5291746667785567
AC004158.1,21.0,0.436015325670498,24.0,0.4464294110310201
AC004160.2,4.0,0.5388888888888889,12.0,0.38958333333333334
AC004217.1,12.0,0.3631086142322097,13.0,0.3354497354497354
AC004221.1,7.0,0.4916666666666667,19.0,0.5
AC004223.2,21.0,0.3469135802469136,24.0,0.37104742970414606
AC004223.4,21.0,0.4231884057971014,24.0,0.42792232634603955
AC004231.1,9.0,0.3925925925925926,11.0,0.35
AC004232.2,20.0,0.427953216374269,24.0,0.5136779187221372
AC004233.2,10.0,0.4718518518518518,4.0,0.4666666666666667
AC004233.3,21.0,0.5142958244869072,24.0,0.49583030443004794
AC004233.4,20.0,0.5786360964138741,24.0,0.5601288273406462
AC004241.1,21.0,0.4684210526315789,24.0,0.4322701936115505
AC004241.2,19.0,0.5844444444444444,23.0,0.4981481481481482
AC004253.1,19.0,0.4481481481481482,23.0,0.581957375641539
AC004253.2,1.0,0.6111111111111112,,
AC004257.1,12.0,0.5872222222222223,24.0,0.6039200365622659
AC004263.1,20.0,0.6004166666666666,24.0,0.5328684239795352
AC004264.1,21.0,0.5044444444444445,23.0,0.5527794898133881
AC004381.1,20.0,0.5243650793650794,24.0,0.4581172314431403
AC004408.1,20.0,0.6571955510157758,18.0,0.6
AC004415.1,,,1.0,0.5222222222222223
AC004448.2,2.0,0.5611111111111111,5.0,0.5444444444444444
AC004449.1,11.0,0.6266666666666667,16.0,0.4829365079365079
AC004466.1,20.0,0.5907227032227031,24.0,0.5427751956463182
AC004466.3,20.0,0.462936507936508,23.0,0.3908747044917257
AC004470.1,3.0,0.3777777777777777,3.0,0.3777777777777777
AC004471.1,12.0,0.6425925925925926,10.0,0.5819444444444444
AC004471.2,6.0,0.5729629629629629,14.0,0.5724789915966386
AC004477.2,12.0,0.5888888888888888,6.0,0.5833333333333333
AC004477.3,21.0,0.3933333333333333,24.0,0.3479076479076479
AC004485.1,,,1.0,0.4111111111111111
AC004490.1,20.0,0.5788888888888889,20.0,0.5767143163074386
AC004492.1,21.0,0.3965811965811966,24.0,0.36889323364831617
AC004494.1,21.0,0.5121693121693122,24.0,0.5317364060640126
AC004520.1,21.0,0.3869444444444444,24.0,0.35035484448104914
AC004522.2,18.0,0.5402777777777779,3.0,0.4777777777777778
AC004528.1,21.0,0.5266666666666666,24.0,0.6033721719668654
AC004528.2,20.0,0.7182539682539683,5.0,0.6888888888888889
AC004540.1,21.0,0.5490151080512526,24.0,0.4489083780453399
AC004540.2,21.0,0.4952855190113538,24.0,0.451475832202403
AC004542.1,18.0,0.42583333333333334,13.0,0.4574074074074074
AC004542.2,20.0,0.4066666666666666,23.0,0.3935619935619935
AC004543.1,2.0,0.4222222222222222,1.0,0.4333333333333333
AC004551.1,8.0,0.46629213483146065,3.0,0.4565913370998117
AC004554.2,21.0,0.5166666666666666,24.0,0.4944444444444444
AC004556.1,16.0,0.6468577535330335,21.0,0.5867724867724868
AC004584.1,18.0,0.4955555555555555,24.0,0.5971930829401093
AC004585.1,20.0,0.569999193092875,23.0,0.4560609711728824
AC004590.1,3.0,0.5333333333333333,1.0,0.2888888888888888
AC004593.1,12.0,0.5583333333333333,13.0,0.4333333333333333
AC004593.3,21.0,0.5180952380952382,23.0,0.2833333333333333
AC004594.1,1.0,0.5555555555555556,2.0,0.30670318205529473
AC004596.1,7.0,0.5111111111111111,5.0,0.5294117647058824
AC004597.1,19.0,0.5428571428571428,24.0,0.5708433525360914
AC004637.1,5.0,0.6404494382022472,4.0,0.4666666666666667
AC004672.1,15.0,0.4777777777777778,16.0,0.43333333333333335
AC004674.1,,,1.0,0.4555555555555555
AC004687.1,21.0,0.6333375836786739,24.0,0.5863043771616383
AC004690.2,,,1.0,0.3146067415730337
AC004691.1,2.0,0.4411111111111111,3.0,0.3555555555555555
AC004692.2,1.0,0.2888888888888888,,
AC004702.1,16.0,0.6340511860174782,24.0,0.6451831129821071
AC004704.1,3.0,0.4438202247191011,5.0,0.3777777777777777
AC004706.1,16.0,0.44999999999999996,23.0,0.4777777777777777
AC004707.1,12.0,0.6848148148148148,9.0,0.6777777777777778
AC004754.1,20.0,0.6183350185372429,24.0,0.5612956146806356
AC004771.1,19.0,0.5488888888888889,24.0,0.31368775820830613
AC004771.2,18.0,0.5686151239522026,24.0,0.5350838680625915
AC004771.3,21.0,0.5801282051282052,24.0,0.5578818708887168
AC004771.4,21.0,0.6104347826086957,24.0,0.684068913874748
AC004771.5,19.0,0.6953703703703704,14.0,0.662962962962963
AC004775.1,5.0,0.3888888888888889,6.0,0.36213235294117646
AC004784.1,15.0,0.3384615384615385,20.0,0.3733333333333333
AC004801.3,1.0,0.3444444444444444,5.0,0.3027777777777778
AC004801.4,4.0,0.5388888888888889,4.0,0.5962962962962963
AC004801.5,,,2.0,0.5833333333333333
AC004801.6,21.0,0.4285946914183358,24.0,0.3278365421378515
AC004803.1,21.0,0.4652777777777778,24.0,0.3954864972349454
AC004812.2,21.0,0.4131054131054131,24.0,0.4245448353738718
AC004816.1,21.0,0.4429429429429429,24.0,0.3204864522861566
AC004816.2,17.0,0.5644444444444444,23.0,0.4844444444444444
AC004817.1,6.0,0.3766666666666666,6.0,0.5888888888888889
AC004817.2,5.0,0.4814814814814814,13.0,0.3111111111111111
AC004817.3,21.0,0.4617977528089887,24.0,0.4853554035110259
AC004817.4,13.0,0.4555555555555555,15.0,0.5
AC004824.1,20.0,0.4703703703703703,4.0,0.42050264550264543
AC004825.2,21.0,0.3951178451178451,24.0,0.33817879967885234
AC004828.1,,,1.0,0.4777777777777778
AC004830.1,2.0,0.4888389513108614,6.0,0.5777777777777777
AC004832.1,7.0,0.5444444444444444,7.0,0.5333333333333333
AC004832.3,,,1.0,0.4777777777777778
AC004832.6,18.0,0.5355555555555556,23.0,0.5111111111111111
AC004834.1,21.0,0.5074074074074074,24.0,0.48881734835478724
AC004835.1,10.0,0.5725967540574282,21.0,0.5267152398299939
AC004837.2,15.0,0.44,10.0,0.3977009936766034
AC004837.3,1.0,0.6444444444444445,2.0,0.8133535986244167
AC004839.1,21.0,0.4684931506849315,24.0,0.4023273287106
AC004846.1,21.0,0.5346666666666667,24.0,0.5235274507656699
AC004846.2,21.0,0.4339506172839506,24.0,0.3956703863800102
AC004852.2,6.0,0.3866666666666666,13.0,0.3518518518518518
AC004854.2,21.0,0.552035203520352,24.0,0.47084960950367116
AC004862.1,3.0,0.3333333333333333,10.0,0.32581699346405224
AC004865.2,21.0,0.613654530920718,24.0,0.4526149381729252
AC004870.3,2.0,0.3433333333333333,9.0,0.4166666666666666
AC004870.4,4.0,0.4733333333333333,6.0,0.37499999999999994
AC004877.1,20.0,0.5531481481481482,24.0,0.37063492063492065
AC004882.1,,,4.0,0.5444444444444445
AC004884.2,21.0,0.3325396825396826,24.0,0.3829929257200954
AC004889.1,21.0,0.5392156862745098,24.0,0.46301288749642167
AC004895.1,17.0,0.6104868913857677,11.0,0.6819971870604782
AC004906.1,18.0,0.49444444444444446,24.0,0.4943683238494559
AC004908.1,20.0,0.44688888888888884,24.0,0.4115659519168291
AC004908.3,21.0,0.3147489688522258,24.0,0.2640085757442439
AC004918.1,21.0,0.3881998277347114,24.0,0.36148532507023956
AC004921.1,20.0,0.5072222222222222,22.0,0.47394461783870595
AC004922.1,21.0,0.6533333333333333,22.0,0.5222222222222223
AC004923.4,21.0,0.5513888888888889,24.0,0.5170452609165348
AC004936.1,,,1.0,0.3777777777777777
AC004941.1,16.0,0.5666666666666667,19.0,0.5111111111111111
AC004943.1,21.0,0.4140606060606061,24.0,0.39999739097557374
AC004943.2,21.0,0.5048518896833504,24.0,0.4635551975583253
AC004943.3,21.0,0.3333333333333333,24.0,0.2619513031550068
AC004947.1,20.0,0.3380456349206349,24.0,0.32387589842786974
AC004948.1,21.0,0.2333333333333333,24.0,0.27350288600288597
AC004949.1,8.0,0.4311111111111111,10.0,0.3298611111111111
AC004951.1,21.0,0.5280713093122206,24.0,0.5468502461794383
AC004969.1,21.0,0.5285185185185185,24.0,0.5377289065052777
AC004973.1,18.0,0.4839575530586766,22.0,0.5534343434343434
AC004975.2,3.0,0.6555555555555556,1.0,0.5777777777777777
AC004982.1,21.0,0.3268686868686868,24.0,0.3195451146015708
AC004982.2,21.0,0.4780215952629745,24.0,0.4984241144252146
AC004988.1,15.0,0.524074074074074,15.0,0.4333333333333333
AC004990.1,17.0,0.5444444444444444,22.0,0.5555555555555556
AC004994.1,4.0,0.38111111111111107,8.0,0.3398148148148148
AC004997.1,1.0,0.6666666666666667,,
AC005005.3,21.0,0.5555555555555556,24.0,0.5448028673835126
AC005008.2,10.0,0.3742821473158552,5.0,0.3
AC005009.1,10.0,0.3155555555555556,15.0,0.250937869123553
AC005009.2,16.0,0.4222222222222222,22.0,0.4049999999999999
AC005013.1,3.0,0.48,4.0,0.47865998154107114
AC005014.2,21.0,0.3750724637681159,24.0,0.33500526488100824
AC005014.3,20.0,0.34904761904761905,24.0,0.3090314072783585
AC005019.2,2.0,0.3686641697877653,7.0,0.3202739726027397
AC005021.1,14.0,0.38666666666666666,24.0,0.4148276316050426
AC005034.2,16.0,0.46142322097378274,16.0,0.41944444444444445
AC005034.3,21.0,0.3686021505376344,24.0,0.3454046268171135
AC005034.4,21.0,0.3158730158730158,24.0,0.2310205092813788
AC005037.1,21.0,0.5003919519205644,24.0,0.3713500683986795
AC005041.1,21.0,0.5066666666666667,24.0,0.44242020727527975
AC005041.3,13.0,0.5555555555555556,19.0,0.6460317460317461
AC005042.2,,,11.0,0.5324961948249619
AC005046.1,21.0,0.4195767195767196,24.0,0.33486593642432094
AC005050.1,16.0,0.45521669341894055,12.0,0.34111111111111114
AC005064.1,1.0,0.5280898876404494,3.0,0.4555555555555555
AC005070.3,21.0,0.4224823485693051,24.0,0.531329308906487
AC005076.1,21.0,0.4559403559403559,24.0,0.3388709182736164
AC005082.1,21.0,0.419047619047619,24.0,0.3360254477344329
AC005086.1,20.0,0.523070987654321,22.0,0.4526608187134502
AC005091.1,21.0,0.5838095238095238,24.0,0.5423477681834921
AC005096.1,21.0,0.5556690500510725,19.0,0.4111111111111111
AC005104.1,4.0,0.43333333333333335,2.0,0.4888888888888889
AC005144.1,1.0,0.1888888888888888,,
AC005150.1,2.0,0.5419475655430712,7.0,0.5222222222222223
AC005154.4,20.0,0.45555555555555555,12.0,0.5046296296296295
AC005154.5,19.0,0.5015873015873016,17.0,0.4722222222222222
AC005154.6,21.0,0.4345454545454545,24.0,0.4094201114196273
AC005162.1,4.0,0.5314814814814814,1.0,0.3888888888888889
AC005162.2,3.0,0.4444444444444444,4.0,0.44557766721945824
AC005162.3,21.0,0.4030864197530864,24.0,0.42686853131251956
AC005165.1,16.0,0.39761904761904754,22.0,0.38989392824113395
AC005180.1,2.0,0.5421348314606742,,
AC005180.2,2.0,0.5513888888888889,1.0,0.6
AC005186.1,14.0,0.5055555555555555,8.0,0.4722222222222222
AC005197.1,11.0,0.4133333333333333,18.0,0.3983333333333333
AC005208.1,1.0,0.5393258426966292,,
AC005220.1,20.0,0.448941798941799,20.0,0.4670503108003108
AC005224.1,21.0,0.3543647363872083,24.0,0.35580915501480703
AC005224.2,15.0,0.5277777777777778,21.0,0.4518518518518519
AC005224.3,21.0,0.4271604938271605,24.0,0.46218503030740427
AC005224.4,21.0,0.5316666666666666,24.0,0.4644896307005042
AC005225.2,21.0,0.3926767676767677,24.0,0.4519943528798374
AC005225.3,18.0,0.4776529338327091,24.0,0.46571274808979723
AC005229.4,21.0,0.3974972497249724,24.0,0.3612540082023431
AC005232.1,4.0,0.49444444444444446,2.0,0.4888888888888889
AC005234.1,1.0,0.5333333333333333,2.0,0.5111111111111111
AC005237.1,18.0,0.6056944444444445,14.0,0.47407407407407404
